id,uniprot,gene
K00384_WC,Q39242,AT2G17420
K00387_Tran,F4JBZ5,AT3G01910
K00387_WC,F4JBZ5,AT3G01910
K00392_Tran,Q9LZ66,AT5G04590
K00392_WC,Q9LZ66,AT5G04590
K00411_Tran,Q94JS0,AT5G13430
K00411_WC,Q94JS0,AT5G13430
K00411_phos,Q94JS0,AT5G13430
K00412_Tran,P42792,AT2G07727
K00412_WC,P42792,AT2G07727
K00413_Tran,Q9LK29,AT3G27240
K00413_WC,Q9LK29,AT3G27240
K00416_Tran,F4HXY8,AT1G15120
K00416_WC,F4HXY8,AT1G15120
K00417_Tran,Q9SUU5,AT4G32470
K00417_WC,Q9SUU5,AT4G32470
K00419_Tran,Q9LXJ2,AT3G52730
K00419_WC,Q9LXJ2,AT3G52730
K00423_Tran,Q9ZVV4,AT1G55570
K00423_WC,Q9ZVV4,AT1G55570
K00430_Tran,Q67Z07,AT1G05240
K00430_WC,Q67Z07,AT1G05240
K00430_phos,Q67Z07,AT1G05240
K00432_Tran,Q8LBU2,AT1G63460
K00432_WC,Q8LBU2,AT1G63460
K00432_phos,Q8LBU2,AT1G63460
K00434_Tran,Q05431,AT1G07890
K00434_WC,Q05431,AT1G07890
K00434_phos,Q05431,AT1G07890
K00451_Tran,Q9ZRA2,AT5G54080
K00451_WC,Q9ZRA2,AT5G54080
K00454_Tran,Q9LNR3,AT1G17420
K00454_WC,Q9LNR3,AT1G17420
K00454_phos,Q9LNR3,AT1G17420
K00457_Tran,F4IDP2,AT1G06570
K00457_WC,F4IDP2,AT1G06570
K00469_Tran,F4HW72,AT1G14520
K00469_WC,F4HW72,AT1G14520
K00472_Tran,Q9LN20,AT1G20270
K00472_WC,Q9LN20,AT1G20270
K00475_Tran,F4J3A5,AT3G51240
K00475_WC,F4J3A5,AT3G51240
K00477_Tran,Q9ZVF6,AT2G01490
K00477_WC,Q9ZVF6,AT2G01490
K00487_Tran,P92994,AT2G30490
K00487_WC,P92994,AT2G30490
K00499_Tran,Q9SZR0,AT4G29890
K00507_Tran,,K00507
K00507_WC,,K00507
K00510_Tran,,K00510
K00510_WC,,K00510
K00511_Tran,Q9SM02,AT1G58440
K00511_WC,Q9SM02,AT1G58440
K00514_Tran,Q38893,AT3G04870
K00514_WC,Q38893,AT3G04870
K00517_Tran,F4I8Y7,AT1G11610
K00517_WC,F4I8Y7,AT1G11610
K00547_Tran,Q8LAX0,AT3G22740
K00547_WC,Q8LAX0,AT3G22740
K00549_Tran,Q9SRV5,AT3G03780
K00549_WC,Q9SRV5,AT3G03780
K00549_phos,Q9SRV5,AT3G03780
K00550_Tran,Q9SAH5,AT1G80860
K00550_WC,Q9SAH5,AT1G80860
K00558_Tran,Q94F88,AT1G69770
K00559_Tran,Q9LM02,AT5G13710
K00559_WC,Q9LM02,AT5G13710
K00565_Tran,Q9LHQ7,AT3G20650
K00565_WC,Q9LHQ7,AT3G20650
K00566_Tran,,K00566
K00587_Tran,Q93W54,AT5G08335
K00588_Tran,F4IAT4,AT1G24735
K00588_WC,F4IAT4,AT1G24735
K00591_Tran,O49354,AT2G30920
K00591_WC,O49354,AT2G30920
K00600_Tran,Q9LM59,AT1G22020
K00600_WC,Q9LM59,AT1G22020
K00600_phos,Q9LM59,AT1G22020
K00601_Tran,P52422,AT1G31220
K00601_WC,P52422,AT1G31220
K00602_WC,O64767,AT2G35040
K00604_Tran,Q9C712,AT1G66520
K00604_WC,Q9C712,AT1G66520
K00605_Tran,O65396,AT1G11860
K00605_WC,O65396,AT1G11860
K00606_Tran,O82357,AT2G46110
K00606_WC,O82357,AT2G46110
K00609_Tran,P49077,AT3G20330
K00609_WC,P49077,AT3G20330
K00611_Tran,O50039,AT1G75330
K00611_WC,O50039,AT1G75330
K00615_Tran,F4IW47,AT2G45290
K00615_WC,F4IW47,AT2G45290
K00615_phos,F4IW47,AT2G45290
K00616_Tran,F4IC59,AT1G12230
K00616_WC,F4IC59,AT1G12230
K00620_WC,Q9ZUR7,AT2G37500
K00621_Tran,Q9LFU9,AT5G15770
K00621_WC,Q9LFU9,AT5G15770
K00626_WC,F4JYM8,AT5G47720
K00627_Tran,Q9C8P0,AT1G34430
K00627_WC,Q9C8P0,AT1G34430
K00627_phos,Q9C8P0,AT1G34430
K00630_Tran,Q43307,AT1G32200
K00630_WC,Q43307,AT1G32200
K00640_Tran,Q42588,AT1G55920
K00640_WC,Q42588,AT1G55920
K00645_Tran,Q8RU07,AT2G30200
K00645_WC,Q8RU07,AT2G30200
K00648_Tran,P49243,AT1G62640
K00648_WC,P49243,AT1G62640
K00652_Tran,Q8GW43,AT5G04620
K00654_Tran,Q9M304,AT3G48780
K00654_WC,Q9M304,AT3G48780
K00655_Tran,Q8GXU8,AT4G30580
K00655_WC,Q8GXU8,AT4G30580
K00658_Tran,Q8H107,AT4G26910
K00658_WC,Q8H107,AT4G26910
K00658_phos,Q8H107,AT4G26910
K00660_Tran,Q460R0,AT5G13930
K00660_WC,Q460R0,AT5G13930
K00679_Tran,Q9FYC7,AT3G44830
K00679_WC,Q9FYC7,AT3G44830
K00688_Tran,W8PUS4,AT3G29320
K00688_WC,W8PUS4,AT3G29320
K00695_Tran,F4HQ76,AT1G73370
K00695_WC,F4HQ76,AT1G73370
K00695_phos,F4HQ76,AT1G73370
K00696_Tran,W8PW44,AT1G04920
K00696_WC,W8PW44,AT1G04920
K00696_phos,W8PW44,AT1G04920
K00700_Tran,O23647,AT2G36390
K00700_WC,O23647,AT2G36390
K00700_phos,O23647,AT2G36390
K00703_Tran,W8QNS2,AT3G01180
K00703_WC,W8QNS2,AT3G01180
K00705_Tran,Q8RXD9,AT2G40840
K00705_WC,Q8RXD9,AT2G40840
K00721_Tran,Q9LM93,AT1G20575
K00721_WC,Q9LM93,AT1G20575
K00729_Tran,Q9SLN0,AT2G39630
K00729_WC,Q9SLN0,AT2G39630
K00736_Tran,Q9FT88,AT2G05320
K00737_Tran,F4HP06,AT1G12990
K00737_WC,F4HP06,AT1G12990
K00759_Tran,F4HSX1,AT1G27450
K00759_WC,F4HSX1,AT1G27450
K00760_Tran,F4IA25,AT1G71750
K00760_WC,F4IA25,AT1G71750
K00761_Tran,Q9M336,AT3G53900
K00761_WC,Q9M336,AT3G53900
K00763_Tran,Q84WV8,AT2G23420
K00763_WC,Q84WV8,AT2G23420
K00763_phos,Q84WV8,AT2G23420
K00764_Tran,Q9SI61,AT2G16570
K00764_WC,Q9SI61,AT2G16570
K00764_phos,Q9SI61,AT2G16570
K00765_Tran,Q8GSJ1,AT1G09795
K00765_WC,Q8GSJ1,AT1G09795
K00766_Tran,Q02166,AT5G17990
K00766_WC,Q02166,AT5G17990
K00767_WC,A8MRX1,AT2G01350
K00770_Tran,W8QPC8,AT1G02730
K00770_WC,W8QPC8,AT1G02730
K00784_Tran,Q8VYS2,AT1G52160
K00784_WC,Q8VYS2,AT1G52160
K00787_Tran,Q43315,AT4G17190
K00787_WC,Q43315,AT4G17190
K00789_Tran,P23686,AT1G02500
K00789_WC,P23686,AT1G02500
K00791_Tran,Q9ZUX7,AT2G27760
K00791_WC,Q9ZUX7,AT2G27760
K00793_Tran,Q9SKU8,AT2G20690
K00793_WC,Q9SKU8,AT2G20690
K00794_Tran,O80575,AT2G44050
K00794_WC,O80575,AT2G44050
K00797_Tran,Q9ZUB3,AT1G23820
K00797_WC,Q9ZUB3,AT1G23820
K00799_Tran,Q9SRY5,AT1G02920
K00799_WC,Q9SRY5,AT1G02920
K00799_phos,Q9SRY5,AT1G02920
K00800_Tran,Q9FVP6,AT1G48860
K00800_WC,Q9FVP6,AT1G48860
K00801_Tran,P53799,AT4G34640
K00801_WC,P53799,AT4G34640
K00811_WC,B9DG21,AT4G31990
K00814_Tran,F4I7I0,AT1G17290
K00814_WC,F4I7I0,AT1G17290
K00815_Tran,Q9SK47,AT2G24850
K00815_WC,Q9SK47,AT2G24850
K00817_Tran,P0DI07,AT1G71920
K00817_WC,P0DI07,AT1G71920
K00818_Tran,Q9M8M7,AT1G80600
K00818_WC,Q9M8M7,AT1G80600
K00819_Tran,Q9FNK4,AT5G46180
K00819_WC,Q9FNK4,AT5G46180
K00820_Tran,Q9LIP9,AT3G24090
K00820_WC,Q9LIP9,AT3G24090
K00826_Tran,B3H7M6,AT1G10060
K00826_WC,B3H7M6,AT1G10060
K00826_phos,B3H7M6,AT1G10060
K00827_Tran,F4ISY3,AT2G38400
K00827_WC,F4ISY3,AT2G38400
K00830_Tran,Q56YA5,AT2G13360
K00830_WC,Q56YA5,AT2G13360
K00831_Tran,Q9SHP0,AT2G17630
K00831_WC,Q9SHP0,AT2G17630
K00844_Tran,Q9FZG4,AT1G47840
K00844_WC,Q9FZG4,AT1G47840
K00847_Tran,Q9LNE4,AT1G06020
K00847_WC,Q9LNE4,AT1G06020
K00850_Tran,Q8VYN6,AT2G22480
K00850_WC,Q8VYN6,AT2G22480
K00850_phos,Q8VYN6,AT2G22480
K00852_Tran,A8MQX7,AT1G17160
K00852_WC,A8MQX7,AT1G17160
K00854_Tran,Q949W8,AT5G49650
K00854_WC,Q949W8,AT5G49650
K00855_Tran,P25697,AT1G32060
K00855_WC,P25697,AT1G32060
K00856_Tran,Q9SF85,AT3G09820
K00856_WC,Q9SF85,AT3G09820
K00857_Tran,Q9S750,AT3G07800
K00857_WC,Q9S750,AT3G07800
K00858_Tran,F4HY34,AT1G21640
K00858_WC,F4HY34,AT1G21640
K00858_phos,F4HY34,AT1G21640
K00859_Tran,Q9ZQH0,AT2G27490
K00859_WC,Q9ZQH0,AT2G27490
K00860_Tran,Q43295,AT2G14750
K00860_WC,Q43295,AT2G14750
K00861_Tran,,K00861
K00861_WC,,K00861
K00863_Tran,F4HYF4,AT1G48430
K00863_WC,F4HYF4,AT1G48430
K00864_Tran,F4HS76,AT1G80460
K00864_WC,F4HS76,AT1G80460
K00868_Tran,Q8W1X2,AT5G37850
K00868_WC,Q8W1X2,AT5G37850
K00869_Tran,P46086,AT5G27450
K00869_WC,P46086,AT5G27450
K00872_Tran,Q8L7R2,AT2G17265
K00872_WC,Q8L7R2,AT2G17265
K00873_Tran,Q93Z53,AT1G32440
K00873_WC,Q93Z53,AT1G32440
K00873_phos,Q93Z53,AT1G32440
K00876_Tran,Q8VYB2,AT1G55810
K00876_WC,Q8VYB2,AT1G55810
K00876_phos,Q8VYB2,AT1G55810
K00878_Tran,Q9LIQ4,AT3G24030
K00888_Tran,Q9SXA1,AT1G49340
K00888_WC,Q9SXA1,AT1G49340
K00889_Tran,Q9LMN1,AT1G01460
K00889_phos,Q9LMN1,AT1G01460
K00891_Tran,A8MRG1,AT2G21940
K00891_WC,A8MRG1,AT2G21940
K00894_Tran,O81024,AT2G26830
K00894_WC,O81024,AT2G26830
K00895_Tran,Q8W4M5,AT1G12000
K00895_WC,Q8W4M5,AT1G12000
K00895_phos,Q8W4M5,AT1G12000
K00899_Tran,Q9C6D2,AT1G49820
K00899_WC,Q9C6D2,AT1G49820
K00901_Tran,Q8VZG1,AT2G18730
K00901_WC,Q8VZG1,AT2G18730
K00901_phos,Q8VZG1,AT2G18730
K00902_Tran,F4J4C8,AT3G45040
K00913_Tran,F4JG14,AT4G08170
K00913_WC,F4JG14,AT4G08170
K00914_Tran,P42339,AT1G60490
K00915_Tran,Q9LY23,AT5G07370
K00915_WC,Q9LY23,AT5G07370
K00919_Tran,O81014,AT2G26930
K00919_WC,O81014,AT2G26930
K00921_Tran,Q9XID0,AT1G34260
K00921_WC,Q9XID0,AT1G34260
K00921_phos,Q9XID0,AT1G34260
K00927_Tran,F4I3L1,AT1G56190
K00927_WC,F4I3L1,AT1G56190
K00927_phos,F4I3L1,AT1G56190
K00928_Tran,Q9S702,AT3G02020
K00928_WC,Q9S702,AT3G02020
K00930_Tran,Q9SCL7,AT3G57560
K00930_WC,Q9SCL7,AT3G57560
K00938_Tran,Q682Q9,AT1G31910
K00938_WC,Q682Q9,AT1G31910
K00939_Tran,Q9ZUU1,AT2G37250
K00939_WC,Q9ZUU1,AT2G37250
K00940_Tran,P39207,AT4G09320
K00940_WC,P39207,AT4G09320
K00940_phos,P39207,AT4G09320
K00942_Tran,P93757,AT2G41880
K00942_WC,P93757,AT2G41880
K00943_Tran,F4KJ62,AT5G59440
K00943_WC,F4KJ62,AT5G59440
K00948_Tran,Q42583,AT1G32380
K00948_WC,Q42583,AT1G32380
K00949_Tran,B3H6N1,AT1G02880
K00949_WC,B3H6N1,AT1G02880
K00962_Tran,Q8GZQ3,AT3G03710
K00962_WC,Q8GZQ3,AT3G03710
K00963_Tran,Q9M9P3,AT3G03250
K00963_WC,Q9M9P3,AT3G03250
K00963_phos,Q9M9P3,AT3G03250
K00965_Tran,Q9FK51,AT5G18200
K00965_WC,Q9FK51,AT5G18200
K00966_Tran,Q9C9P3,AT1G74910
K00966_WC,Q9C9P3,AT1G74910
K00966_phos,Q9C9P3,AT1G74910
K00967_Tran,Q9ZVI9,AT2G38670
K00967_WC,Q9ZVI9,AT2G38670
K00967_phos,Q9ZVI9,AT2G38670
K00968_Tran,Q9ZV56,AT2G32260
K00968_WC,Q9ZV56,AT2G32260
K00968_phos,Q9ZV56,AT2G32260
K00972_Tran,Q940S3,AT1G31070
K00972_WC,Q940S3,AT1G31070
K00972_phos,Q940S3,AT1G31070
K00975_Tran,F4I8U2,AT1G05610
K00975_WC,F4I8U2,AT1G05610
K00975_phos,F4I8U2,AT1G05610
K00981_Tran,O04928,AT1G62430
K00981_WC,O04928,AT1G62430
K00981_phos,O04928,AT1G62430
K00991_Tran,P69834,AT2G02500
K00991_WC,P69834,AT2G02500
K00993_Tran,O82567,AT1G13560
K00993_WC,O82567,AT1G13560
K00995_Tran,O80952,AT2G39290
K00999_Tran,Q8LBA6,AT1G68000
K00999_WC,Q8LBA6,AT1G68000
K01001_Tran,O22211,AT2G41490
K01001_WC,O22211,AT2G41490
K01001_phos,O22211,AT2G41490
K01006_WC,O23404,AT4G15530
K01006_phos,O23404,AT4G15530
K01011_Tran,Q24JL3,AT1G16460
K01011_WC,Q24JL3,AT1G16460
K01012_Tran,Q24JJ0,AT2G43360
K01012_WC,Q24JJ0,AT2G43360
K01047_Tran,Q8S8N6,AT2G06925
K01051_Tran,Q9SRX4,AT1G02810
K01051_WC,Q9SRX4,AT1G02810
K01051_phos,Q9SRX4,AT1G02810
K01054_Tran,,K01054
K01057_Tran,Q9LMX8,AT1G13700
K01057_WC,Q9LMX8,AT1G13700
K01068_Tran,F4HU51,AT1G01710
K01068_WC,F4HU51,AT1G01710
K01069_Tran,Q8LDW8,AT1G06130
K01069_WC,Q8LDW8,AT1G06130
K01069_phos,Q8LDW8,AT1G06130
K01074_Tran,Q9LY31,AT3G60340
K01074_WC,Q9LY31,AT3G60340
K01079_Tran,O82796,AT1G18640
K01079_WC,O82796,AT1G18640
K01081_Tran,F4ITW1,AT2G38680
K01081_WC,F4ITW1,AT2G38680
K01082_Tran,Q9M0Y6,AT4G05090
K01082_WC,Q9M0Y6,AT4G05090
K01082_phos,Q9M0Y6,AT4G05090
K01087_Tran,F4I1A6,AT1G22210
K01092_Tran,Q94F00,AT1G31190
K01092_WC,Q94F00,AT1G31190
K01094_Tran,Q84VV0,AT3G58830
K01100_Tran,P46283,AT3G55800
K01100_WC,P46283,AT3G55800
K01100_phos,P46283,AT3G55800
K01103_Tran,Q9MB58,AT1G07110
K01103_WC,Q9MB58,AT1G07110
K01103_phos,Q9MB58,AT1G07110
K01110_Tran,Q9LT75,AT3G19420
K01110_WC,Q9LT75,AT3G19420
K01110_phos,Q9LT75,AT3G19420
K01113_Tran,F4K1J1,AT5G42370
K01113_WC,F4K1J1,AT5G42370
K01114_Tran,Q8L7Y9,AT1G07230
K01114_WC,Q8L7Y9,AT1G07230
K01115_Tran,Q9SSQ9,AT1G52570
K01115_WC,Q9SSQ9,AT1G52570
K01115_phos,Q9SSQ9,AT1G52570
K01126_Tran,Q9C907,AT1G74210
K01126_WC,Q9C907,AT1G74210
K01142_Tran,B3H7C2,AT2G41460
K01142_WC,B3H7C2,AT2G41460
K01148_Tran,Q9LG26,AT1G55870
K01148_WC,Q9LG26,AT1G55870
K01164_Tran,F4IL30,AT2G47300
K01176_Tran,Q8LFG1,AT1G76130
K01176_WC,Q8LFG1,AT1G76130
K01177_Tran,Q9LIR6,AT3G23920
K01177_WC,Q9LIR6,AT3G23920
K01177_phos,Q9LIR6,AT3G23920
K01179_Tran,Q8VYG3,AT3G43860
K01183_Tran,Q9FXB8,AT1G56680
K01183_WC,Q9FXB8,AT1G56680
K01184_Tran,A8MRN3,AT3G15720
K01184_WC,A8MRN3,AT3G15720
K01187_Tran,F4J6T7,AT3G45940
K01187_WC,F4J6T7,AT3G45940
K01188_Tran,B3H5Q1,AT1G02850
K01188_WC,B3H5Q1,AT1G02850
K01190_WC,F4JCX0,AT3G54440
K01191_Tran,B3H6B8,AT3G26720
K01191_WC,B3H6B8,AT3G26720
K01193_Tran,Q39041,AT1G12240
K01193_WC,Q39041,AT1G12240
K01194_Tran,Q9SU50,AT4G24040
K01194_WC,Q9SU50,AT4G24040
K01205_Tran,Q9FNA3,AT5G13690
K01205_WC,Q9FNA3,AT5G13690
K01206_Tran,Q9FXE5,AT1G67830
K01206_WC,Q9FXE5,AT1G67830
K01209_Tran,Q9SG80,AT3G10740
K01209_WC,Q9SG80,AT3G10740
K01213_Tran,P49062,AT1G02790
K01213_WC,P49062,AT1G02790
K01227_Tran,Q9SRL4,AT3G11040
K01227_WC,Q9SRL4,AT3G11040
K01228_Tran,Q84M89,AT1G24320
K01228_WC,Q84M89,AT1G24320
K01230_Tran,Q93Y37,AT1G30000
K01230_WC,Q93Y37,AT1G30000
K01231_Tran,Q9LFR0,AT5G14950
K01231_WC,Q9LFR0,AT5G14950
K01237_Tran,F4HV16,AT1G47600
K01237_WC,F4HV16,AT1G47600
K01237_phos,F4HV16,AT1G47600
K01240_Tran,Q9SJM7,AT2G36310
K01240_WC,Q9SJM7,AT2G36310
K01244_Tran,Q7XA67,AT4G34840
K01244_WC,Q7XA67,AT4G34840
K01246_Tran,F4HSJ2,AT1G13635
K01246_WC,F4HSJ2,AT1G13635
K01246_phos,F4HSJ2,AT1G13635
K01247_Tran,Q56YU8,AT1G19480
K01247_WC,Q56YU8,AT1G19480
K01251_Tran,Q9LK36,AT3G23810
K01251_WC,Q9LK36,AT3G23810
K01254_Tran,Q9FY49,AT5G13520
K01254_WC,Q9FY49,AT5G13520
K01255_Tran,P30184,AT2G24200
K01255_WC,P30184,AT2G24200
K01256_WC,F4I3R0,AT1G63770
K01259_Tran,P93732,AT2G14260
K01259_WC,P93732,AT2G14260
K01307_Tran,Q9SYL6,AT1G78660
K01307_WC,Q9SYL6,AT1G78660
K01373_Tran,Q058I7,AT2G21430
K01373_WC,Q058I7,AT2G21430
K01426_Tran,Q9SW47,AT4G34880
K01427_Tran,Q9SR52,AT1G67550
K01427_WC,Q9SR52,AT1G67550
K01431_Tran,Q8H183,AT5G64370
K01431_WC,Q8H183,AT5G64370
K01433_Tran,F4JP46,AT4G17360
K01433_WC,F4JP46,AT4G17360
K01438_WC,F4JPZ7,AT4G17830
K01444_Tran,Q56W64,AT5G61540
K01444_WC,Q56W64,AT5G61540
K01455_Tran,F4JS39,AT4G37550
K01455_WC,F4JS39,AT4G37550
K01456_Tran,Q9FGY9,AT5G49570
K01456_WC,Q9FGY9,AT5G49570
K01464_Tran,Q9FMP3,AT5G12200
K01464_WC,Q9FMP3,AT5G12200
K01465_Tran,O04904,AT4G22930
K01465_WC,O04904,AT4G22930
K01466_Tran,Q94AP0,AT4G04955
K01469_Tran,Q9FIZ7,AT5G37830
K01469_WC,Q9FIZ7,AT5G37830
K01469_phos,Q9FIZ7,AT5G37830
K01476_Tran,B9DFC0,AT4G08870
K01476_WC,B9DFC0,AT4G08870
K01488_Tran,Q8LPL7,AT4G04880
K01488_WC,Q8LPL7,AT4G04880
K01489_Tran,O65896,AT2G19570
K01489_WC,O65896,AT2G19570
K01490_Tran,O80452,AT2G38280
K01490_WC,O80452,AT2G38280
K01490_phos,O80452,AT2G38280
K01493_Tran,Q1PEH3,AT3G48540
K01495_Tran,Q9SFV7,AT3G07270
K01495_WC,Q9SFV7,AT3G07270
K01501_Tran,Q1LYZ1,AT3G44300
K01501_WC,Q1LYZ1,AT3G44300
K01501_phos,Q1LYZ1,AT3G44300
K01507_Tran,Q93V56,AT1G01050
K01507_WC,Q93V56,AT1G01050
K01507_phos,Q93V56,AT1G01050
K01510_Tran,Q8H1D8,AT1G14230
K01510_WC,Q8H1D8,AT1G14230
K01512_Tran,Q9LZF2,AT5G03370
K01512_WC,Q9LZF2,AT5G03370
K01517_Tran,Q9SB68,AT4G24730
K01517_WC,Q9SB68,AT4G24730
